city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Rikitea,-23.12,100,PF,1561849511,67,-134.97,70.32,12.73
Airai,-8.93,88,TL,1561849513,63,125.41,75.57,1.59
Vao,59.1,4,EE,1561849515,72,26.19,57.77,11.61
Cape Town,-33.93,0,ZA,1561849268,76,18.42,57.0,18.34
Longyearbyen,78.22,75,NO,1561849518,69,15.63,39.2,13.87
Malkangiri,18.35,100,IN,1561849519,97,81.9,73.9,3.4
Albany,42.65,20,US,1561849343,45,-73.75,84.2,13.87
Khatanga,71.98,99,RU,1561849522,59,102.47,60.06,17.81
Butaritari,3.07,83,KI,1561849524,67,172.79,83.35,1.14
Cabo San Lucas,22.89,5,MX,1561849283,14,-109.91,99.0,12.75
Ushuaia,-54.81,75,AR,1561849527,86,-68.31,33.8,12.75
Atuona,-9.8,88,PF,1561849528,74,-139.03,81.26,13.0
Kapaa,22.08,40,US,1561849529,70,-159.32,84.2,13.87
Busselton,-33.64,75,AU,1561849531,88,115.35,53.01,22.41
Faanui,-16.48,52,PF,1561849532,78,-151.75,75.88,24.07
Qaanaaq,77.48,0,GL,1561849535,47,-69.36,50.3,1.12
Tessalit,20.2,31,ML,1561849536,36,1.01,87.72,9.01
Dikson,73.51,33,RU,1561849537,89,80.55,34.8,8.46
Nador,35.17,17,MA,1561849538,73,-2.93,75.2,4.7
Jamestown,-33.21,16,AU,1561849431,88,138.6,45.69,10.6
Chacabuco,-34.64,95,AR,1561849542,91,-60.47,48.79,7.61
Terrace,54.52,75,CA,1561849544,64,-128.61,69.8,6.93
Tutoia,-2.76,0,BR,1561849545,78,-42.27,82.4,11.41
Marawi,8.0,100,PH,1561849546,87,124.29,77.0,5.99
Thompson,55.74,90,CA,1561849548,63,-97.86,66.2,6.93
Vardo,39.62,1,US,1561849549,45,-77.74,88.0,8.05
Narsaq,60.91,75,GL,1561849550,70,-46.05,48.2,5.82
Taltal,-25.41,0,CL,1561849551,75,-70.49,52.12,2.86
Sola,-3.17,45,TZ,1561849554,58,33.8,66.57,5.79
Mao,19.55,20,DO,1561849555,59,-71.08,89.6,16.11
Chumikan,54.72,10,RU,1561849557,46,135.31,71.85,4.56
Vaini,15.34,98,IN,1561849559,92,74.49,76.18,5.59
Mar del Plata,-46.43,39,AR,1561849560,63,-67.52,31.81,12.73
Ostrovnoy,68.05,100,RU,1561849562,56,39.51,46.97,6.04
Teguise,29.06,20,ES,1561849563,68,-13.56,71.6,13.87
Souillac,45.6,90,FR,1561849563,88,-0.6,69.01,8.05
Hermanus,-34.42,100,ZA,1561849561,76,19.24,55.99,13.67
Tuktoyaktuk,69.44,90,CA,1561849567,86,-133.03,39.2,9.17
Xuddur,4.12,34,SO,1561849568,75,43.89,72.62,21.63
Bluff,-23.58,4,AU,1561849561,54,149.07,69.97,5.68
Port Elizabeth,39.31,1,US,1561849563,100,-74.98,75.99,8.05
Fairbanks,64.84,20,US,1561849572,42,-147.72,88.0,9.84
Henties Bay,-22.12,86,NA,1561849573,95,14.28,54.0,1.99
Punta Arenas,-53.16,0,CL,1561849575,69,-70.91,35.6,6.93
Hasaki,35.73,75,JP,1561849576,100,140.83,70.0,4.7
Tiksi,71.64,100,RU,1561849334,80,128.87,40.94,9.06
Castro,-42.48,90,CL,1561849564,100,-73.76,39.2,4.7
Tuatapere,-46.13,100,NZ,1561849564,78,167.69,48.99,1.99
Lodja,-3.52,62,CD,1561849581,65,23.6,72.62,0.56
Geraldton,49.72,40,CA,1561849567,41,-86.95,75.2,10.29
Talnakh,69.49,0,RU,1561849583,76,88.39,48.2,8.95
East London,-33.02,5,ZA,1561849585,28,27.91,58.76,4.38
Nikolskoye,59.7,40,RU,1561849587,72,30.79,60.8,6.71
Nuuk,64.17,75,GL,1561849588,86,-51.74,41.0,4.7
Qaqortoq,60.72,75,GL,1561849590,70,-46.03,48.2,5.82
Homer,59.64,1,US,1561849591,68,-151.54,80.01,10.29
Capreol,46.71,40,CA,1561849592,42,-80.92,80.6,12.75
San Policarpo,12.18,100,PH,1561849595,77,125.51,80.58,4.56
Katsuura,33.93,75,JP,1561849597,88,134.5,78.8,9.17
Bitung,1.44,40,ID,1561849598,88,125.19,73.4,2.24
Hirado,33.32,90,JP,1561849600,100,129.49,75.99,9.17
Bambous Virieux,-20.34,40,MU,1561849601,60,57.76,73.4,14.99
Mukhen,48.19,100,RU,1561849602,56,136.14,65.91,4.47
Barabinsk,55.35,0,RU,1561849604,88,78.35,49.71,6.6
Nicoya,10.15,75,CR,1561849605,55,-85.45,87.8,13.87
Chuy,-33.69,98,UY,1561849563,99,-53.46,63.24,1.9
Saldanha,41.42,0,PT,1561849564,69,-6.55,70.44,3.36
Qasigiannguit,68.82,75,GL,1561849611,75,-51.19,42.8,9.17
Beyneu,45.32,66,KZ,1561849615,28,55.19,75.28,9.42
Dubbo,-32.25,1,AU,1561849616,93,148.6,48.2,7.49
Barcelona,41.38,0,ES,1561849575,65,2.18,84.0,1.12
Naze,5.43,75,NG,1561849609,88,7.07,78.8,5.21
Kutum,14.2,52,SD,1561849589,32,24.66,79.62,0.74
Najran,17.54,0,SA,1561849622,19,44.22,86.0,4.7
Solnechnyy,50.72,100,RU,1561849624,59,136.64,69.4,3.56
Cherskiy,68.75,100,RU,1561849625,70,161.3,47.37,14.09
Horizonte,-4.1,75,BR,1561849626,78,-38.5,78.8,10.29
Nemuro,43.32,93,JP,1561849628,91,145.57,51.97,11.83
Mataura,-46.19,93,NZ,1561849562,78,168.86,48.99,1.99
Puerto Ayora,-0.74,20,EC,1561849630,78,-90.35,75.2,20.8
Khonsa,26.99,69,IN,1561849631,96,95.51,70.28,3.83
Ponta do Sol,-20.63,1,BR,1561849607,82,-46.0,62.77,6.46
Bredasdorp,-34.53,81,ZA,1561849561,81,20.04,54.0,3.36
Tasiilaq,65.61,100,GL,1561849635,88,-37.64,48.2,12.75
New Norfolk,-42.78,75,AU,1561849637,50,147.06,53.6,16.11
Chara,39.42,20,GR,1561849638,64,22.43,73.0,1.83
Te Anau,-45.41,100,NZ,1561849640,81,167.72,47.53,2.28
Naryan-Mar,67.67,99,RU,1561849642,82,53.09,58.45,20.38
Erdaojiang,41.78,98,CN,1561849643,96,126.03,59.84,2.68
Clarence Town,-32.59,90,AU,1561849644,76,151.78,60.01,8.05
Limbang,4.75,75,BN,1561849645,94,115.01,80.6,2.24
Hobart,-42.88,75,AU,1561849562,50,147.33,53.6,16.11
Saint George,39.45,20,GR,1561849474,64,22.34,73.0,1.83
Codrington,-28.95,90,AU,1561849608,100,153.24,61.0,4.7
Yellowknife,62.45,75,CA,1561849587,35,-114.38,71.6,11.41
Alibag,18.64,90,IN,1561849655,94,72.88,82.4,13.87
Grand Gaube,-20.01,40,MU,1561849657,60,57.66,73.4,14.99
Port Alfred,-33.59,0,ZA,1561849658,82,26.89,55.99,5.59
Waipawa,-39.94,0,NZ,1561849659,79,176.59,51.01,1.52
Vostok,46.45,100,RU,1561849660,73,135.83,64.83,2.91
Port Hardy,50.7,75,CA,1561849662,67,-127.42,62.6,6.93
Saskylakh,71.97,98,RU,1561849644,52,114.09,57.9,19.37
Aligudarz,33.4,0,IR,1561849664,33,49.69,62.63,0.36
Ostrowiec Swietokrzyski,50.93,0,PL,1561849666,78,21.39,64.99,5.99
Kaduqli,11.01,82,SD,1561849667,80,29.72,74.67,7.14
Leningradskiy,69.38,93,RU,1561849622,69,178.42,45.69,4.72
Umm Lajj,25.02,0,SA,1561849669,73,37.27,83.91,6.6
Saint-Pierre,48.95,0,FR,1561849620,72,4.24,68.0,10.29
Lagoa,37.14,0,PT,1561849628,78,-8.45,71.6,6.93
Nyurba,63.29,0,RU,1561849673,46,118.35,78.97,2.75
Kahului,20.89,20,US,1561849565,41,-156.47,91.4,23.04
Ambilobe,-13.19,0,MG,1561849588,71,49.05,71.25,9.26
Ribeira Grande,38.52,20,PT,1561849680,73,-28.7,67.17,9.93
Ixtapa,20.71,40,MX,1561849682,59,-105.21,89.6,13.87
Okha,53.59,0,RU,1561849683,64,142.95,55.25,4.18
Villa Bruzual,9.33,84,VE,1561849684,89,-69.12,66.97,4.16
Nanortalik,60.14,98,GL,1561849635,95,-45.24,35.23,2.73
Alta Floresta,-9.87,53,BR,1561849687,51,-56.08,75.93,3.04
Bull Savanna,17.89,97,JM,1561849602,76,-77.59,84.37,15.39
Cayenne,4.94,100,GF,1561849601,88,-52.33,77.0,5.66
Houma,35.63,45,CN,1561849617,29,111.36,79.01,2.17
Tabas,33.6,0,IR,1561849692,13,56.92,96.8,2.24
Saint-Philippe,45.36,90,CA,1561849562,82,-73.48,75.99,8.05
Guasdualito,7.24,40,VE,1561849694,62,-70.73,87.8,2.24
Itarema,-2.92,2,BR,1561849598,82,-39.92,75.32,6.6
Lebu,8.96,99,ET,1561849568,89,38.73,57.01,1.25
Solomenskoye,44.22,100,RU,1561849698,88,44.35,60.61,12.44
Severo-Kurilsk,50.68,1,RU,1561849606,92,156.12,43.06,3.76
Goderich,43.74,0,CA,1561849700,62,-81.71,73.99,11.99
Camacha,33.08,20,PT,1561849702,68,-16.33,68.0,10.29
Dondo,-19.62,0,MZ,1561849703,97,34.74,61.32,2.84
Bolshaya Dzhalga,45.97,99,RU,1561849704,80,42.7,58.72,5.64
Presidencia Roque Saenz Pena,-26.79,99,AR,1561849707,84,-60.44,64.79,10.54
Barrow,-38.31,100,AR,1561849643,92,-60.23,42.67,9.28
Dunedin,-45.87,18,NZ,1561849393,52,170.5,54.0,5.99
Sharlyk,52.93,100,RU,1561849710,84,54.74,64.02,8.66
Juneau,58.3,20,US,1561849507,34,-134.42,80.6,9.17
Touros,-5.2,20,BR,1561849593,83,-35.46,75.2,3.36
Mazamari,-11.33,100,PE,1561849569,96,-74.53,40.76,1.92
Pisco,-13.71,75,PE,1561849524,30,-76.2,71.6,14.99
Samana,0.12,75,EC,1561849717,88,-76.97,78.8,2.24
Huarmey,-10.07,17,PE,1561849577,87,-78.15,63.87,15.95
Port Blair,11.67,100,IN,1561849720,79,92.75,84.09,25.46
Kodiak,39.95,1,US,1561849607,26,-94.76,95.0,10.29
Kuching,1.56,75,MY,1561849723,94,110.34,77.0,1.12
Eucaliptus,-17.6,0,BO,1561849724,48,-67.51,47.42,2.15
Matay,28.42,0,EG,1561849725,50,30.79,78.24,10.54
Ozernovskiy,51.5,42,RU,1561849727,92,156.52,42.85,7.81
Pevek,69.7,100,RU,1561849645,99,170.27,34.03,8.66
Srandakan,-7.94,29,ID,1561849730,80,110.25,73.99,11.34
Lata,30.78,83,IN,1561849576,78,78.62,42.24,2.33
Hilo,19.71,90,US,1561849424,58,-155.08,82.4,9.17
Poum,41.28,0,MK,1561849582,82,20.71,50.8,5.35
Shadrinsk,56.09,98,RU,1561849735,69,63.63,60.4,15.68
Lasa,34.92,20,CY,1561849616,88,32.53,77.0,6.93
Caravelas,-17.73,0,BR,1561849571,87,-39.27,74.1,5.61
Coihaique,-45.58,20,CL,1561849565,80,-72.07,33.8,2.82
Srednekolymsk,67.46,100,RU,1561849740,68,153.71,49.67,8.5
Tura,64.27,10,RU,1561849644,42,100.22,78.02,4.99
Hofn,64.25,100,IS,1561849743,95,-15.21,35.9,9.37
Solhan,38.97,0,TR,1561849744,68,41.05,51.63,7.07
Bilma,18.69,27,NE,1561849591,14,12.92,93.81,9.37
Kruisfontein,-34.0,0,ZA,1561849563,55,24.73,50.03,3.47
Arraial do Cabo,-22.97,0,BR,1561849749,77,-42.02,71.88,14.36
Sept-Iles,50.2,75,CA,1561849750,87,-66.38,55.4,8.05
Banda Aceh,5.56,93,ID,1561849498,76,95.32,83.64,17.58
Adre,13.47,36,TD,1561849753,39,22.2,83.58,6.89
Necochea,-38.55,100,AR,1561849564,81,-58.74,48.0,11.01
Sur,22.57,1,OM,1561849755,49,59.53,89.63,9.64
Hovd,63.83,75,NO,1561849643,100,10.7,54.0,6.93
Barra do Garcas,-15.89,0,BR,1561849758,51,-52.26,69.47,0.54
Langarud,37.2,75,IR,1561849759,83,50.15,80.6,6.93
Cuamba,-14.8,8,MZ,1561849760,96,36.54,59.73,3.91
Mendeleyevo,56.04,0,RU,1561849762,76,37.23,57.0,8.95
Daru,-9.07,80,PG,1561849586,88,143.21,75.63,13.73
Bedong,5.73,75,MY,1561849764,88,100.51,82.4,2.24
Antalaha,-14.9,83,MG,1561849766,98,50.28,65.44,1.81
Faya,18.39,0,SA,1561849592,28,42.45,75.2,5.12
Luderitz,-26.65,0,NA,1561849571,87,15.16,51.8,2.24
Saintes,45.74,90,FR,1561849629,88,-0.63,66.2,8.05
Cookeville,36.16,1,US,1561849620,55,-85.5,89.01,3.36
Bowen,-20.01,40,AU,1561849774,93,148.25,71.01,3.36
Salina,38.84,20,US,1561849775,35,-97.61,98.6,12.75
Vila Franca do Campo,37.72,20,PT,1561849610,77,-25.43,64.4,2.24
Vilhena,-12.74,0,BR,1561849435,61,-60.15,78.8,5.82
Kasama,-10.21,0,ZM,1561849781,64,31.19,48.72,3.58
Bang Saphan,11.21,62,TH,1561849783,81,99.51,79.98,12.26
Portland,43.66,75,US,1561849706,57,-70.25,82.4,3.36
Villa Constitucion,-33.23,90,AR,1561849785,93,-60.33,55.0,9.17
Kaya,13.31,42,NG,1561849789,31,12.68,92.33,8.84
Georgetown,6.8,75,GY,1561849568,74,-58.16,84.2,6.93
Phanom Sarakham,13.75,75,TH,1561849792,83,101.35,86.0,9.17
Maltahohe,-24.83,0,NA,1561849793,47,16.98,51.88,7.02
Gat,14.69,30,SN,1561849616,83,-16.54,77.0,9.17
Manaure,11.78,75,CO,1561849796,55,-72.45,89.6,11.41
Esperance,-33.86,5,AU,1561849565,76,121.89,48.2,16.11
Lompoc,34.64,1,US,1561849610,68,-120.46,82.4,16.11
Mareeba,-16.99,20,AU,1561849580,77,145.42,69.01,13.87
Zuwarah,32.93,0,LY,1561849801,76,12.08,77.23,6.46
Luz,-19.79,0,BR,1561849802,79,-45.68,64.29,1.32
Olinda,-37.84,20,AU,1561849805,70,145.39,51.01,17.22
Marsa Matruh,31.35,40,EG,1561849745,83,27.25,78.8,6.93
Katobu,-4.94,56,ID,1561849588,74,122.53,78.45,5.55
Buala,-8.15,45,SB,1561849808,70,159.59,83.37,3.65
Alihe,50.57,36,CN,1561849627,34,123.73,72.64,4.54
Provideniya,64.42,100,RU,1561849627,96,-173.23,44.32,3.83
Reo,12.32,76,BF,1561849812,41,-2.47,87.0,7.34
Port-Gentil,-0.72,64,GA,1561849813,82,8.78,76.06,18.7
Sao Jose da Coroa Grande,-8.9,24,BR,1561849815,95,-35.15,70.86,3.51
Nueva Loja,0.08,75,EC,1561849618,88,-76.88,78.8,2.24
Abu Zabad,12.35,98,SD,1561849743,72,29.25,77.95,15.77
Baiyin,36.55,0,CN,1561849617,71,104.13,57.2,2.24
Sao Pedro do Sul,-29.62,75,BR,1561849579,65,-54.18,80.6,6.93
Port Lincoln,-34.72,100,AU,1561849823,72,135.86,56.82,25.97
Mbaiki,3.87,0,CF,1561849824,91,17.99,70.53,1.12
Medea,36.27,0,DZ,1561849826,83,2.77,73.4,3.51
Aksarka,66.56,85,RU,1561849827,58,67.8,59.41,7.18
Middle Island,40.88,1,US,1561849828,69,-72.94,82.99,6.93
Ahipara,-35.17,0,NZ,1561849567,68,173.16,59.41,16.37
Vieques,18.43,40,PR,1561849831,78,-65.83,84.2,11.41
Tevaitoa,-16.78,23,PF,1561849832,76,-151.5,75.18,23.73
Piacabucu,-10.41,0,BR,1561849835,76,-36.43,76.92,11.27
Doka,13.52,100,SD,1561849836,82,35.76,75.14,6.85
Keti Bandar,24.14,88,PK,1561849837,83,67.45,84.41,18.86
San Juan,-31.54,0,AR,1561849714,27,-68.53,41.37,9.31
Avera,33.19,75,US,1561849574,74,-82.53,89.6,3.36
Torbay,47.66,75,CA,1561849443,93,-52.73,55.0,2.24
Pangnirtung,66.15,0,CA,1561849605,46,-65.72,44.05,6.02
Eresos,39.17,0,GR,1561849845,64,25.93,72.46,20.56
Riyadh,24.63,0,SA,1561849622,9,46.72,93.2,4.14
Tsagan Aman,47.57,100,RU,1561849849,49,46.72,69.9,5.88
Kenora,49.76,90,CA,1561849850,39,-94.48,78.8,9.17
Vrangel,42.73,100,RU,1561849613,99,133.08,53.54,3.38
Whitehorse,60.72,75,CA,1561849853,39,-135.06,79.0,4.7
Sioux Falls,43.55,1,US,1561849623,41,-96.7,95.0,8.05
Bundaberg,-24.87,75,AU,1561849671,93,152.35,70.0,4.7
Zhuhai,40.71,0,CN,1561849611,71,112.04,53.6,2.24
Druzhba,52.05,22,UA,1561849857,91,33.94,47.42,8.08
Waingapu,-9.65,97,ID,1561849859,76,120.26,72.44,13.13
Tangier,51.02,10,GB,1561849860,87,-3.11,61.0,6.93
Miri,10.31,35,NG,1561849861,77,9.75,75.48,3.33
Bazarnyye Mataki,54.9,75,RU,1561849863,92,49.93,49.83,7.11
Parit Buntar,5.13,75,MY,1561849864,88,100.49,82.4,2.24
Sechura,-5.56,99,PE,1561849583,85,-80.82,65.71,13.2
Lavrentiya,65.58,100,RU,1561849866,94,-170.99,44.95,7.29
Southbridge,42.08,75,US,1561849825,61,-72.03,82.99,3.31
Pilar,-34.46,90,AR,1561849870,100,-58.91,55.4,5.82
Yarada,17.65,100,IN,1561849600,76,83.27,82.41,19.3
Voh,-20.95,0,NC,1561849568,76,164.69,71.97,14.76
Esmeralda,-34.33,75,CL,1561849874,81,-70.9,50.0,6.93
Kautokeino,69.01,49,NO,1561849875,75,23.04,36.55,13.6
Ternate,14.29,90,PH,1561849877,83,120.72,81.0,3.36
Wenling,28.38,66,CN,1561849878,62,121.38,91.0,1.05
Salsk,46.48,80,RU,1561849879,88,41.54,55.07,5.79
Siguiri,11.42,27,GN,1561849881,73,-9.17,78.7,4.68
Mahebourg,-20.41,40,MU,1561849564,60,57.7,73.4,14.99
Ust-Ilimsk,57.96,0,RU,1561849631,41,102.73,76.89,3.44
College,64.86,20,US,1561849888,42,-147.8,87.8,9.84
Ilulissat,69.22,75,GL,1561849645,75,-51.1,42.8,9.17
Victoria,5.28,75,BN,1561849891,88,115.24,80.6,2.24
Pastavy,55.11,52,BY,1561849642,98,26.84,53.49,6.73
Pouembout,-21.12,0,NC,1561849893,76,164.9,71.97,14.76
Port Augusta,-32.49,12,AU,1561849895,93,137.76,43.0,9.17
Ancud,-41.87,90,CL,1561849572,100,-73.83,39.2,4.7
Hithadhoo,-0.6,87,MV,1561849576,67,73.08,83.69,14.16
Atakpame,7.53,41,TG,1561849898,98,1.13,70.19,3.36
